Date,Strike Price,Expiry,Premium,"31-Dec-2016, NIFTY 8185.80","31-Dec-2016, NIFTY 8185.80","31-Dec-2016, NIFTY 8185.80"
,,,,,,
10-Dec-16,7800,25-Jan-17,40,410.95,410.95,410.95
,,,,,,
11-Dec-16,7800,23-Feb-17,30,442.8,442.8,442.8
,,,,,,
12-Dec-16,8000,25-Jan-17,,244.5,244.5,244.5
,,,,,,
13-Dec-16,8000,23-Feb-17,,318,318,318
,,,,,,
14-Dec-16,8300,25-Jan-17,,63.8,63.8,63.8
,,,,,,
15-Dec-16,8300,23-Feb-17,,143,143,143
,,,,,,
16-Dec-16,8400,25-Jan-17,,33,33,33
,,,,,,
17-Dec-16,8400,23-Feb-17,,101.8,101.8,101.8
,,,,,,
18-Dec-16,7500,25-Jan-17,,7.55,7.55,690.7
,,,,,,
,7500,30-Mar-17,,45.45,45.45,784.5
